currentRanking,displayName,userUrl,tier,points,joined,totalGoldMedals,totalSilverMedals,totalBronzeMedals
1417,fkubota,/fkubota,expert,6539,2018-12-23,0,1,2
1418,Kirill Balakhonov,/kirill702b,expert,6536,2017-10-10,0,3,2
1419,ChrisCC,/chriscc,master,6534,2015-03-19,2,5,5
1420,Kamal,/kamalnaithani,expert,6514,2017-08-04,0,0,2
1421,JonyJ,/bigjbchild,expert,6505,2020-04-07,1,0,3
1422,Bassil Bassiouny,/bosbos,expert,6498,2018-07-29,0,1,2
1423,anttip,/anttip,master,6497,2012-06-19,4,7,2
1424,Brian Lee,/joonl04,expert,6489,2017-06-24,0,3,3
1425,Tung M Phung,/tungmphung,expert,6482,2015-01-28,1,0,1
1426,Jebq,/jeabat,expert,6478,2016-11-23,0,6,1
1427,HuixiongYi,/huixiongyi,expert,6478,2019-04-25,1,0,1
1428,JKiriS,/jkiris,master,6476,2014-08-30,1,2,1
1429,ngyope,/yukinkgwa,expert,6466,2018-01-03,1,1,1
1430,sharthZ#23,/sharthz23,expert,6465,2017-10-11,0,4,2
1431,kagren,/kagren,expert,6463,2016-02-08,0,1,4
1432,UEMU,/asaliquid1011,expert,6458,2019-12-19,0,1,1
1433,Yizhi,/yizhitao,expert,6454,2016-04-22,0,3,5
1434,xixi,/candou,expert,6452,2020-06-13,0,1,1
1435,PAB97,/rftexas,expert,6451,2017-09-30,0,3,1
1436,ziron,/supreethmanyam,expert,6431,2015-02-23,0,2,6
1437,Shivam Mittal,/shivammittal274,expert,6423,2020-04-25,0,0,3
1438,Aleix López,/aleixlopez,expert,6422,2019-05-26,0,2,0
1439,naknak,/naokinakamura,expert,6417,2017-01-09,0,2,3
1440,Girma Kejela,/girmak,master,6404,2014-12-11,2,9,8
1441,Aleksei Tiulpin,/alekseit,master,6401,2014-04-04,2,4,2
1442,bbtatsu,/bbtatsu,expert,6398,2020-03-10,0,1,2
1443,tomo20180402,/tomo20180402,expert,6397,2018-08-05,0,2,2
1444,belkasanek,/belkasanek,expert,6394,2017-08-17,0,4,1
1445,Belonogov,/belonogov,expert,6392,2015-09-24,0,1,2
1446,Priyanshu Kumar,/kpriyanshu256,expert,6385,2017-10-21,0,3,0
1447,ilovescience,/tanlikesmath,expert,6384,2016-07-29,0,1,2
1448,Hartmut Ott,/hartmut,expert,6380,2015-06-05,0,2,6
1449,MG,/marat102,expert,6380,2016-11-06,0,0,2
1450,Ning Jia,/ningjiaca,expert,6365,2018-08-02,0,2,2
1451,Akasyanama,/akasyanama13,master,6364,2015-08-22,1,2,3
1452,Zac Warren,/bandersnatch2020,expert,6362,2017-07-06,0,2,0
1453,Yuko Ishizaki,/pridegoodmusic,expert,6347,2017-09-14,0,3,3
1454,Andrey Ostapets,/morandi,master,6344,2011-09-04,1,11,14
1455,Charles Lin,/cambrian,expert,6344,2018-11-25,0,1,1
1456,Karan,/imkaran23,expert,6339,2019-08-18,0,1,1
1457,XiaokangWang,/xiaokangwang,expert,6336,2016-09-12,0,3,1
1458,Radek Osmulski,/radek1,master,6324,2013-02-02,1,3,1
1459,yyqing,/yyqing,expert,6319,2017-07-13,0,2,6
1460,Daniil Barysevich,/devvindan,expert,6314,2018-04-16,0,2,5
1461,Ruslan Khalitov,/ruslankhalitov,expert,6311,2016-11-22,0,1,3
1462,Fares FOURATI,/ffares,expert,6302,2018-03-20,0,0,2
1463,Jing,/jinghuiwong,expert,6288,2018-08-17,0,1,2
1464,Guixin Jiang,/guixinjiang,expert,6284,2020-06-18,1,0,3
1465,Renjie Chen1,/renjiechen1,expert,6284,2020-06-18,1,0,3
1466,Nelson Hong Ming Tseng,/lognat0704,expert,6282,2017-06-24,0,1,2
1467,Yakolle Zhang,/yakolle,master,6273,2017-06-24,1,4,0
1468,Ivan V.,/jovannv,expert,6273,2018-03-16,0,1,3
1469,resistance0108,/resistance0108,expert,6272,2018-03-11,1,1,3
1470,nyk510,/nyk510,master,6269,2017-06-24,1,4,1
1471,Lucas Bevilacqua,/bevilacqua,expert,6269,2017-11-30,0,0,3
1472,dingwoai,/dingwoai,master,6262,2016-04-08,2,1,1
1473,Maciej A. Czyzewski,/maciejczyzewski,expert,6261,2018-06-29,0,1,1
1474,Nikolai  Popov,/chudak,master,6260,2014-09-14,1,3,1
1475,Antoine,/areveillon,master,6258,2017-05-13,2,1,2
1476,panda3734,/panda3734,expert,6253,2020-06-22,0,2,0
1477,空雨潇潇,/hkyhky,expert,6248,2016-03-11,1,1,1
1478,Zheng Li,/mdlszhengli,master,6238,2017-11-17,2,1,0
1479,fantastic_hirarin,/hiraiitsuki,expert,6237,2019-03-29,0,2,1
1480,David J. Slate,/dslate,grandmaster,6234,2010-08-05,6,13,7
1481,You Jia,/jiayou,master,6234,2017-06-09,2,2,1
1482,ohadlights,/ohadlights,expert,6222,2017-12-16,0,4,2
1483,Barely Passing,/amoghjrules,expert,6216,2017-09-18,0,1,1
1484,Ryosuke Shiroshita,/ryosukeshiroshita,expert,6209,2020-03-09,0,2,1
1485,chenhan zhang,/zhangchenhan,expert,6207,2014-11-21,1,0,3
1486,Steven Nguyen,/stevenknguyen,expert,6207,2016-08-30,0,7,4
1487,Shi HJ,/shihjwjj,expert,6207,2017-03-21,0,2,0
1488,Trian,/trian2018,master,6203,2018-03-14,2,4,2
1489,Shaorooon,/syaorn13,expert,6201,2019-03-12,0,3,1
1490,Byfone,/byfone,expert,6189,2016-09-12,0,2,3
1491,maimang,/maimang,expert,6183,2019-11-12,0,2,1
1492,ascu,/ascust,expert,6180,2016-08-01,1,1,0
1493,R MAT,/rmat2014,expert,6176,2017-08-03,1,1,1
1494,MountainClimber,/lwd0305,expert,6175,2014-12-29,0,1,1
1495,Linyao Luo,/leolemon214,expert,6166,2017-11-09,0,2,1
1496,gunjun,/kevin0401,expert,6161,2018-07-08,1,0,1
1497,Tuan Ho,/tuanho27,expert,6154,2018-07-12,0,2,5
1498,jvc2688,/jvc2688,master,6153,2017-01-12,3,1,0
1499,hadxu,/hadxu123,master,6143,2015-12-13,2,3,0
1500,Rand Xie,/randxie,master,6142,2015-04-11,1,6,5
1501,Akihiro Katsura,/akihirok,expert,6142,2017-01-14,0,2,0
1502,Vishal,/vagrawal,expert,6117,2013-12-28,0,1,1
1503,hrappuccino,/hrappuccino,master,6116,2017-06-09,1,2,0
1504,Wang Xinliang,/dldmw579,expert,6116,2018-11-26,0,3,1
1505,Narek Maloyan,/narek1110,expert,6105,2017-03-22,0,1,3
1506,张鉴鸾,/zjp2origin,expert,6101,2017-10-18,0,1,1
1507,Sergey Yurgenson,/ccccat,grandmaster,6097,2010-12-02,18,22,10
1508,Han Khai,/hankhaichong,master,6093,2017-10-19,1,3,0
1509,zhangeng,/zhangeng,expert,6090,2018-04-04,0,1,2
1510,witwitchayakarn,/witwitchayakarn,expert,6088,2015-12-28,0,1,2
1511,aagapi,/aagapi,expert,6079,2019-05-14,0,2,0
1512,NJ7,/namanj27,expert,6077,2019-09-02,0,1,2
1513,Yushim,/yushim,expert,6073,2015-10-10,0,2,3
1514,kazumax,/kazumax0720,expert,6071,2018-10-29,0,2,0
1515,Gokagglers ,/loveall,expert,6070,2013-09-23,0,1,1
1516,Zhenrong,/zhenrong,expert,6068,2020-06-12,1,0,2
1517,Tomoyo,/guziye,master,6067,2017-01-20,2,2,1
1518,Sujeeth S,/sujeeth,expert,6064,2014-06-17,0,1,3
1519,Nishant Kumar,/nishkgp,master,6063,2012-09-25,1,7,4
1520,dalatar,/dalatar,expert,6063,2020-01-30,0,0,2
1521,hexinlin,/muduxe,expert,6061,2018-04-18,1,1,1
1522,Clancey_Lee,/clancey,expert,6061,2019-03-12,1,1,1
1523,Kostadinov,/freeman89,master,6052,2015-10-08,1,4,2
1524,shirakia,/shirakia,expert,6051,2018-04-21,0,1,2
1525,William Hau,/williamhau,master,6046,2016-04-15,1,3,3
1526,wh1te,/wh1tezzz,master,6029,2016-11-21,3,3,1
1527,Aleck Wu,/cweed28,expert,6029,2018-08-29,0,2,1
1528,Hari,/hari722,expert,6026,2019-08-16,0,1,1
1529,Artur Fattakhov (MIPT DIHT),/fartuk1,master,6025,2016-10-08,1,4,3
1530,Ruslan Grimov,/mrnnnn,expert,6023,2017-07-26,0,3,0
1531,纵横,/szuzhangzhi,expert,6017,2019-05-23,0,2,0
1532,Raynard Jon,/raynardj,expert,6016,2017-05-12,0,1,2
1533,ARMADA,/fadylabib,expert,5990,2018-05-28,0,0,2
1534,Yuriy Nazarov,/firefish,expert,5985,2017-10-18,0,3,2
1535,YoungLamb,/peterzheng,expert,5984,2017-04-04,0,4,1
1536,SchenbergZ,/httpwwwfszyc,expert,5984,2019-01-19,0,2,1
1537,Nikita Kuzmin,/paniquex,expert,5978,2018-09-23,0,2,4
