currentRanking,displayName,userUrl,tier,points,joined,totalGoldMedals,totalSilverMedals,totalBronzeMedals
167,Shuyang Li,/shuyangli94,expert,35,2015-08-18,0,1,2
168,Justinas Cirtautas,/justinas,expert,35,2016-11-25,0,1,2
169,Paul,/prondeau,expert,35,2018-10-05,0,0,4
170,Deepak Deepu,/deepakdeepu8978,expert,35,2019-08-30,0,1,2
171,G_R_S,/danoozy44,expert,35,2019-12-02,0,0,6
172,Akash kumar,/singhakash,expert,34,2018-07-19,0,0,4
173,nosound,/zaharch,expert,34,2018-09-13,0,1,2
174,Ravi Chaubey,/ravichaubey1506,expert,34,2019-03-13,0,0,3
175,Abhishek,/iabhishekmaurya,expert,34,2019-09-20,0,0,3
176,Ravirajsinh Dabhi,/ravirajsinh45,expert,34,2019-09-22,0,1,2
177,Thomas Konstantin,/thomaskonstantin,expert,34,2020-03-17,0,0,4
178,ask9,/arbazkhan971,expert,33,2017-10-21,0,0,3
179,podsyp,/podsyp,expert,33,2018-11-01,0,0,6
180,Somesh Sharma,/somesh24,expert,33,2019-09-19,0,0,4
181,Frank Mollard,/frankmollard,expert,33,2020-01-09,0,0,3
182,Jai Ganesh Nagidi,/jaiganeshnagidi,expert,33,2020-03-10,0,0,3
183,Dan Ofer,/danofer,expert,32,2013-06-14,0,1,3
184,Omri Goldstein,/drgilermo,expert,32,2015-06-22,1,0,3
185,Amit Hasan Shuvo,/amithasanshuvo,expert,32,2018-12-31,0,0,3
186,Md. Redwan Karim Sony,/redwankarimsony,expert,32,2019-03-23,0,0,3
187,Fedi Ben Messaoud,/fedi1996,expert,32,2019-08-19,0,0,4
188,Rasel Ahmed,/data855,expert,32,2020-08-21,0,0,4
189,Carlos Souza,/carlossouza,expert,30,2017-02-16,0,0,3
190,Anshul Sharma,/anshuls235,expert,30,2017-10-11,0,0,4
191,Samruddhi Mhatre,/samruddhim,expert,30,2018-03-22,0,0,3
192,Niharika Pandit,/niharika41298,expert,30,2019-01-20,0,0,3
193,Alif Rahman,/alifrahman,expert,30,2020-01-07,0,0,3
194,Vitaliy Malcev,/vitaliymalcev,expert,30,2020-02-17,0,0,5
195,darth manav,/darthmanav,expert,30,2020-08-04,0,0,3
196,Shashi Prakash Tripathi,/shishu1421,expert,29,2017-11-12,0,0,3
197,ahmettezcantekin,/ahmettezcantekin,expert,29,2018-01-06,0,0,5
198,Adnan Zaidi,/adnanzaidi,expert,29,2018-04-03,0,0,3
199,Mustafa Fatakdawala,/mastmustu,expert,29,2018-05-21,0,0,3
200,milan,/milan400,expert,29,2018-06-15,0,0,3
201,Shangqiu Li,/unkownhihi,expert,29,2019-06-06,0,1,3
202,Ravi Sane,/ravisane1,expert,29,2020-02-23,0,0,3
203,Vlad Golubev,/golubev,expert,28,2017-09-19,0,0,5
204,Ulrich G.,/ulrich07,expert,28,2017-10-20,0,0,4
205,ratan rohith,/ratan123,expert,28,2018-02-19,0,0,4
206,prasoon kottarathil,/prasoonkottarathil,expert,28,2018-11-24,0,0,6
207,NJ7,/namanj27,expert,28,2019-09-02,0,0,4
208,SALMAN FAROZ,/salmanfaroz,expert,28,2020-07-19,0,0,5
209,Rishav Sharma,/rsrishav,expert,28,2020-08-01,0,0,3
210,Pranav Hari,/phiitm,expert,27,2017-12-04,0,0,4
211,Aishwarya,/aishu200023,expert,27,2019-03-02,0,0,3
212,Abu Noman Md. Sakib,/anmspro,expert,27,2019-04-12,0,0,5
213,Md Awsafur Rahman,/awsaf49,expert,27,2019-08-12,0,0,3
214,Loulou ,/louise2001,expert,27,2019-08-22,0,0,4
215,Vagif Aliyev,/vagifa,expert,27,2020-04-10,0,0,3
216,Luis Moneda,/lgmoneda,expert,26,2016-05-18,0,1,2
217,Chanran Kim,/seriousran,expert,26,2017-08-01,0,0,3
218,Kunaal Naik,/funxexcel,expert,26,2017-11-19,0,0,3
219,Abhinand,/abhinand05,expert,26,2018-12-08,0,0,4
220,Alexander Antonov,/trolukovich,expert,26,2019-01-05,0,0,3
221,Vatsal Parsaniya,/vatsalparsaniya,expert,26,2019-03-07,0,0,3
222,Pulkit Mehta,/pulkitmehtawork1985,expert,26,2019-03-23,0,0,3
223,aman2000jaiswal,/aman2000jaiswal,expert,26,2019-12-12,0,0,3
224,Gaurav Rajesh Sahani,/gauravsahani,expert,26,2020-04-02,0,0,4
225,Jeremy Howard,/jhoward,expert,25,2010-10-13,0,0,5
226,Liling Tan,/alvations,expert,25,2014-02-17,0,0,6
227,Daisuke Ishii,/daiearth22,expert,25,2016-12-25,0,1,4
228,Mohamed Essam,/mohammedessam97,expert,25,2018-03-04,0,0,3
229,Mathchi,/mathchi,expert,25,2019-09-01,0,0,3
230,Minnie Liang,/minnieliang,expert,25,2020-07-04,0,0,3
231,Achintya Tripathi,/achintyatripathi,expert,24,2019-07-02,0,0,3
232,Ankur Singh,/lazycoder00,expert,24,2020-01-23,0,0,4
233,Shishir Singh,/shishir349,expert,24,2020-04-04,0,0,3
234,Vikrant Singh,/vik2012kvs,expert,24,2020-08-01,0,0,4
235,Evgeny_Semyonov,/lightforever,expert,23,2016-04-11,0,0,3
236,Tania J,/taniaj,expert,23,2017-09-29,0,2,1
